"Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"vanderbijlpark campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;Perl;PHP;Python;SQL","MariaDB;MySQL;PostgreSQL;SQLite","Microsoft Azure","Flask","Oil & Gas","ChatGPT","Adrenaline;Tabnine","Employed, full-time"
"pretoria campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;Swift;VBA","Elasticsearch;Firebase Realtime Database;MySQL","Amazon Web Services (AWS);Digital Ocean;Firebase;VMware","Django;React","Oil & Gas","Bing AI;ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter","Employed, part-time"
"nelson mandela bay campus","Computer Science","I am a developer by profession","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;Clojure;Java;JavaScript;Visual Basic (.Net)","Datomic;Microsoft SQL Server;MySQL;Oracle;PostgreSQL","Amazon Web Services (AWS)","Angular;AngularJS;Spring Boot","Manufacturing, Transportation, or Supply Chain","ChatGPT","Codeium;GitHub Copilot;Tabnine","Employed, full-time"
"vanderbijlpark campus","Computer Science","I am a developer by profession","Developer, back-end","Associate degree (A.A., A.S., etc.)","Python","MongoDB;MySQL;PostgreSQL","Microsoft Azure","Flask","Wholesale","ChatGPT","Replit Ghostwriter","Employed, full-time"
"vanderbijlpark campus","Computer Science","I am a developer by profession","Developer, embedded applications or devices","Some college/university study without earning a degree","JavaScript;Perl","MongoDB;MySQL","Cloudflare;Vultr","Express","Healthcare","ChatGPT","Codeium;GitHub Copilot;Tabnine","Employed, full-time"
"durban campus","Data Science","I used to be a developer by profession, but no longer am","Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Dart","Cloud Firestore;Elasticsearch;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Firebase","Laravel;Vue.js","Healthcare","ChatGPT","Adrenaline;Tabnine","Employed, full-time"
"bloemfontein campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Scientist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Julia;MATLAB;Perl;PHP;PowerShell;Python;R;SQL;VBA","Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;SQLite","Firebase;Google Cloud;Heroku","Node.js","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","GitHub Copilot","Employed, full-time"
"nelson mandela bay campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;JavaScript;PHP;SQL","MariaDB;Microsoft SQL Server;MySQL","Amazon Web Services (AWS)","ASP.NET CORE;jQuery;Node.js","Healthcare","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"pretoria campus","Computer Science","I am a developer by profession","Data scientist or machine learning specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;Python;SQL","Elasticsearch;MongoDB","Amazon Web Services (AWS)","FastAPI","Wholesale","Bing AI","GitHub Copilot;Rubber Duck.AI","Employed, full-time"
"bloemfontein campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Academic researcher","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;R;SQL;VBA","InfluxDB;MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite","OVH;VMware","Express;jQuery;Node.js","Healthcare","ChatGPT","GitHub Copilot;Whispr AI","Employed, full-time"
"durban campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;HTML/CSS;JavaScript;PHP;Python;SQL","Couch DB;Firebase Realtime Database;MariaDB;MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Netlify;Vercel","Angular;AngularJS;Express;jQuery;Laravel;Next.js;Node.js;React;Vue.js;WordPress","Legal Services","Bing AI;ChatGPT","AWS CodeWhisperer;Rubber Duck.AI","Employed, full-time"
"nelson mandela bay campus","Data Science","I am a developer by profession","DevOps specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Go;HTML/CSS;Java;SQL;TypeScript","H2;PostgreSQL","Hetzner;Microsoft Azure","Angular;Spring Boot","Information Services, IT, Software Development, or other Technology","ChatGPT","Adrenaline;Tabnine","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, back-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Erlang;Java;JavaScript;Objective-C;Perl;Python;R;Ruby;SQL","Couch DB;Elasticsearch;H2;MariaDB;MySQL;Oracle;PostgreSQL","Amazon Web Services (AWS);Cloudflare;Google Cloud;Heroku;IBM Cloud Or Watson;Linode, now Akamai;Microsoft Azure;OpenShift;OpenStack","Django;Express;FastAPI;Flask;jQuery;Laravel;Next.js;Ruby on Rails;Spring Boot","Healthcare","Bing AI;ChatGPT;WolframAlpha","Favorable","Employed, full-time"
"nelson mandela bay campus","Computer Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Groovy;HTML/CSS;JavaScript;Python;TypeScript","Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS)","Express;Node.js;React","Legal Services","ChatGPT","Adrenaline;GitHub Copilot;Synk Code","Employed, full-time"
"durban campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Cobol;HTML/CSS;JavaScript;SQL;Swift;VBA","Dynamodb;IBM DB2;MySQL;PostgreSQL","Amazon Web Services (AWS);Firebase;Heroku","Express;jQuery;Node.js;Vue.js","Healthcare","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"durban campus","IT","I am a developer by profession","Developer Experience","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C#;Python","PostgreSQL","Firebase;Google Cloud;Netlify","ASP.NET CORE","Information Services, IT, Software Development, or other Technology","ChatGPT;You.com","AWS CodeWhisperer;Codeium;GitHub Copilot","Employed, full-time"
"nelson mandela bay campus","IT","I am a developer by profession","Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript","MongoDB;MySQL;Oracle","Google Cloud;Netlify;Vercel","Django;jQuery;Laravel;Next.js;Node.js;React;Vue.js","Retail and Consumer Services","ChatGPT;Google Bard AI","Rubber Duck.AI","Employed, full-time"
"pretoria campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Data or business analyst","Some college/university study without earning a degree","Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Perl;PHP;PowerShell;Python;SQL;VBA;Visual Basic (.Net)","BigQuery;IBM DB2;Microsoft Access;Microsoft SQL Server;MySQL;Oracle;PostgreSQL","VMware","ASP.NET","Advertising Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI","Employed, full-time"
"vanderbijlpark campus","IT","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;SQL","Microsoft SQL Server;PostgreSQL;Redis","Heroku;Microsoft Azure","ASP.NET;ASP.NET CORE;Blazor;jQuery","Legal Services","ChatGPT","AWS CodeWhisperer","Employed, full-time"
"nelson mandela bay campus","Computer Science","I am a developer by profession","Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Assembly;Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL","BigQuery;Cassandra;Dynamodb;Elasticsearch;InfluxDB;MariaDB;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Hetzner;OpenShift","Angular;Fastify;Gatsby;Next.js;Node.js;React","Other","ChatGPT;WolframAlpha","GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Independent contractor, freelancer, or self-employed"
"vanderbijlpark campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Groovy;Java;SQL","MySQL","Amazon Web Services (AWS)","Spring Boot","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT;WolframAlpha","Adrenaline;Synk Code;Whispr AI","Employed, full-time"
"vanderbijlpark campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;TypeScript","MySQL;PostgreSQL","Amazon Web Services (AWS)","React;Symfony","Wholesale","ChatGPT","Mintlify;Tabnine","Employed, full-time"
"vanderbijlpark campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL","PostgreSQL;Redis","Fly.io;Heroku","Django;Lit;Vue.js","Financial Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Tabnine;Whispr AI","Employed, part-time"
"pretoria campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Java;JavaScript;Python;SQL;TypeScript","BigQuery;Couchbase;Dynamodb;Elasticsearch;MySQL;Redis","Amazon Web Services (AWS)","Spring Boot","Insurance","Bing AI;ChatGPT","Adrenaline;GitHub Copilot;Tabnine","Not employed, but looking for work"
"vanderbijlpark campus","Data Science","I am a developer by profession","Data scientist or machine learning specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Python;Rust;SQL","MariaDB","Managed Hosting","Flask","Oil & Gas","Bing AI;ChatGPT","GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Employed, full-time"
"nelson mandela bay campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript","Microsoft SQL Server;SQLite","Microsoft Azure","Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;jQuery","Insurance","Bing AI;ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify","Independent contractor, freelancer, or self-employed;Employed, part-time"
"pretoria campus","Data Science","I am a developer by profession","Developer, front-end","Some college/university study without earning a degree","C#;Dart;HTML/CSS;JavaScript;SQL;TypeScript","Microsoft SQL Server;MongoDB;MySQL","Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Heroku;Microsoft Azure;OVH","AngularJS;ASP.NET;ASP.NET CORE;Express;jQuery;Next.js;Node.js;Nuxt.js;React;Vue.js","Higher Education","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"vanderbijlpark campus","Data Science","I am a developer by profession","Cloud infrastructure engineer","Some college/university study without earning a degree","Assembly;Bash/Shell (all shells);C++;Go;HTML/CSS;Java;JavaScript;Objective-C;PHP;PowerShell;Python;Rust;SQL;Swift;TypeScript","Dynamodb;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;OVH;Vercel","Angular;AngularJS;Django;Express;Gatsby;jQuery;Laravel;Next.js;Node.js;React;WordPress","Oil & Gas","ChatGPT;WolframAlpha","Adrenaline;Tabnine","Employed, full-time;Independent contractor, freelancer, or self-employed;Student, full-time"
"vanderbijlpark campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Security professional","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C;C++;PowerShell;Python","PostgreSQL;SQLite","Amazon Web Services (AWS);Oracle Cloud Infrastructure (OCI);VMware","Django;WordPress","Financial Services","ChatGPT","AWS CodeWhisperer;Mintlify;Replit Ghostwriter;Synk Code;Tabnine","Employed, full-time"
"bloemfontein campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C++;HTML/CSS;Java;JavaScript","Firebase Realtime Database;PostgreSQL","Amazon Web Services (AWS);Firebase;Google Cloud;IBM Cloud Or Watson","Flask;Node.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT;Google Bard AI","AWS CodeWhisperer;Codeium;GitHub Copilot","Employed, full-time"
"pretoria campus","Data Science","I am a developer by profession","Developer, front-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript","Cassandra;MongoDB;MySQL;PostgreSQL;Redis;SQLite;Supabase","Amazon Web Services (AWS);Cloudflare;Colocation;Google Cloud;Microsoft Azure","Angular;Next.js;Node.js;Qwik;React;Spring Boot","Financial Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, part-time;Student, part-time"
"vanderbijlpark campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C++;HTML/CSS;JavaScript;PHP;SQL;TypeScript","Dynamodb;MariaDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Firebase","Angular;AngularJS;Express;jQuery;Laravel;Next.js;Node.js;React;WordPress","Wholesale","ChatGPT;Google Bard AI","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"nelson mandela bay campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL","MariaDB;MongoDB","Heroku;Netlify","Flask;Node.js;Vue.js;WordPress","Other","ChatGPT","AWS CodeWhisperer","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Assembly;Bash/Shell (all shells);C;Clojure;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript","MongoDB;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Google Cloud;Heroku;Netlify;Vercel","FastAPI;Next.js;Node.js;React","Higher Education","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"durban campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;SQL","MySQL","Netlify","Node.js;React","Other","ChatGPT;Google Bard AI;Phind","Synk Code","Employed, full-time"
"durban campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;PowerShell;SQL;TypeScript","Microsoft SQL Server","Managed Hosting","React","Insurance","Bing AI;ChatGPT","GitHub Copilot;Mintlify","Employed, full-time"
"durban campus","IT","I am a developer by profession","Research & Development role","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C++;Dart;HTML/CSS;Java;JavaScript;Julia;MATLAB;PHP;PowerShell;Python;SQL;TypeScript","MySQL;PostgreSQL;SQLite","Firebase;Google Cloud;Heroku;Microsoft Azure","Node.js","Oil & Gas","WolframAlpha","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Employed, full-time;Student, part-time"
"durban campus","Computer Science","I am a developer by profession","Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;TypeScript","Cloud Firestore","Firebase","React","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer","Employed, full-time"
"nelson mandela bay campus","Data Science","I am a developer by profession","Engineering manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);TypeScript","Couch DB","Amazon Web Services (AWS)","Express;React;Svelte","Wholesale","Phind","AWS CodeWhisperer;Mintlify;Replit Ghostwriter;Synk Code;Tabnine","Employed, full-time"
"vanderbijlpark campus","Computer Science","I am a developer by profession","Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Dart;HTML/CSS;JavaScript;TypeScript","PostgreSQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Hetzner","ASP.NET;Next.js;Node.js;React;Ruby on Rails","Higher Education","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify","Employed, full-time"
"nelson mandela bay campus","IT","I am learning to code","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","MongoDB;MySQL;PostgreSQL","Vercel","AngularJS;Next.js;React;Vue.js","Advertising Services","ChatGPT","GitHub Copilot;Tabnine","Not employed, but looking for work"
"vanderbijlpark campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL","MySQL;Solr","Cloudflare","ASP.NET;ASP.NET CORE;Drupal;jQuery;Symfony","Oil & Gas","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter","Employed, full-time"
"durban campus","Data Science","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","Bash/Shell (all shells);C#;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;SQL;TypeScript","Cassandra;Cloud Firestore;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite","Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Vercel;VMware","ASP.NET;ASP.NET CORE;Express;NestJS;Next.js;Node.js;React","Higher Education","ChatGPT","Favorable","Employed, full-time;Independent contractor, freelancer, or self-employed"
"bloemfontein campus","Data Science","I am a developer by profession","Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Apex;HTML/CSS;JavaScript;PHP","MariaDB;Microsoft SQL Server;MySQL;Oracle","Google Cloud","CodeIgniter;jQuery","Information Services, IT, Software Development, or other Technology","ChatGPT","AWS CodeWhisperer;Codeium;Tabnine;Whispr AI","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Java;JavaScript;SQL;TypeScript","Microsoft SQL Server;PostgreSQL","Amazon Web Services (AWS);Microsoft Azure","ASP.NET CORE;React;Spring Boot;Vue.js","Oil & Gas","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;Mintlify;Rubber Duck.AI;Synk Code;Tabnine","Employed, full-time"
"bloemfontein campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C++;JavaScript;TypeScript","InfluxDB;MongoDB;PostgreSQL;Redis","Amazon Web Services (AWS)","Node.js","Advertising Services","ChatGPT","GitHub Copilot;Synk Code;Tabnine","Employed, full-time"
"durban campus","IT","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Elixir;Java;JavaScript;PHP","Cassandra;PostgreSQL;Redis","Amazon Web Services (AWS)","Laravel;Phoenix;Spring Boot;Vue.js","Advertising Services","ChatGPT","Rubber Duck.AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"vanderbijlpark campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP","MariaDB;MySQL;Redis","Cloudflare","CodeIgniter;jQuery;WordPress","Insurance","ChatGPT","AWS CodeWhisperer;Rubber Duck.AI","Employed, full-time"
"vanderbijlpark campus","Computer Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Java;JavaScript;TypeScript","MongoDB;PostgreSQL","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","ASP.NET CORE;Next.js;Node.js;React;Spring Boot","Healthcare","ChatGPT","AWS CodeWhisperer;Mintlify;Replit Ghostwriter;Synk Code;Tabnine","Employed, full-time"
"durban campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;Kotlin;TypeScript","PostgreSQL;SQLite","Amazon Web Services (AWS)","React;Spring Boot","Other","ChatGPT","AWS CodeWhisperer;Synk Code;Whispr AI","Employed, full-time"
"vanderbijlpark campus","Data Science","I am a developer by profession","Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C;C#;C++;Go;JavaScript;Objective-C;Perl;PowerShell;Python;SQL;Swift;TypeScript","Dynamodb;Microsoft SQL Server;MongoDB;MySQL;SQLite","Amazon Web Services (AWS);Microsoft Azure","Node.js;WordPress","Advertising Services","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"bloemfontein campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript","BigQuery;MongoDB;Redis","Cloudflare;Google Cloud","Express;Node.js","Wholesale","Bing AI;ChatGPT;Google Bard AI","Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"bloemfontein campus","Computer Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP","MySQL","Digital Ocean;Linode, now Akamai;Vultr","Angular;Nuxt.js;React;Vue.js","Other","Bing AI;ChatGPT","Adrenaline;Codeium;GitHub Copilot","Employed, part-time"
"durban campus","IT","I am a developer by profession","Engineering manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;C++;Dart;Go;HTML/CSS;Java;JavaScript;PHP;Python;Rust;SQL;Swift;TypeScript","BigQuery;Cassandra;Cloud Firestore;Cockroachdb;Cosmos DB;Couch DB;Dynamodb;Elasticsearch;Firebase Realtime Database;H2;InfluxDB;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;Redis;SQLite;Supabase","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Heroku;Linode, now Akamai;Microsoft Azure;Netlify;OpenStack;Render;Vercel","Angular;CodeIgniter;Deno;Django;Express;FastAPI;Fastify;Flask;Gatsby;jQuery;Laravel;NestJS;Next.js;Node.js;Nuxt.js;React;Remix;Solid.js;Spring Boot;Svelte;Symfony;Vue.js","Wholesale","Bing AI;ChatGPT;Google Bard AI;You.com","Codeium;GitHub Copilot;Tabnine","Employed, full-time"
"vanderbijlpark campus","Computer Science","I am a developer by profession","Developer, embedded applications or devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Ada;C#","BigQuery;Cosmos DB;MariaDB;Microsoft SQL Server;MySQL","Amazon Web Services (AWS);Cloudflare;Microsoft Azure","Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor","Manufacturing, Transportation, or Supply Chain","ChatGPT","Adrenaline;GitHub Copilot;Tabnine","Independent contractor, freelancer, or self-employed;Employed, part-time"
"durban campus","Computer Science","I used to be a developer by profession, but no longer am","Engineering manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Apex;Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript","Dynamodb;MySQL","Amazon Web Services (AWS);Heroku;VMware","Angular;AngularJS;Express;jQuery","Higher Education","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"durban campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Elixir;Ruby;SQL","Elasticsearch;PostgreSQL;Redis","Digital Ocean;Google Cloud","Phoenix;Ruby on Rails","Financial Services","ChatGPT","Replit Ghostwriter;Tabnine","Employed, full-time;Independent contractor, freelancer, or self-employed"
"durban campus","Computer Science","I am a developer by profession","Cloud infrastructure engineer","Associate degree (A.A., A.S., etc.)","Bash/Shell (all shells);Dart;Go;HTML/CSS;Python;TypeScript","Cloud Firestore;Dynamodb;H2;InfluxDB;MariaDB;MySQL;PostgreSQL;Redis;Supabase","Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure;Netlify;Oracle Cloud Infrastructure (OCI);Vercel","Angular;Deno;Drupal;Gatsby;jQuery;Laravel;Next.js;Node.js;React;Spring Boot;WordPress","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT;Google Bard AI","AWS CodeWhisperer","Employed, full-time"
"durban campus","Computer Science","I am learning to code","Developer, full-stack","Some college/university study without earning a degree","C#;Dart;HTML/CSS;Java;Python;SQL;TypeScript","Firebase Realtime Database;SQLite","Cloudflare;Firebase;Google Cloud","Django;Flask;Svelte","Legal Services","Bing AI","AWS CodeWhisperer;Mintlify;Replit Ghostwriter;Synk Code;Tabnine","Student, full-time;Employed, part-time"
"pretoria campus","IT","I am a developer by profession","Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;PHP;SQL","MariaDB;MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku;Netlify","Express;Laravel;Node.js;React;Vue.js","Manufacturing, Transportation, or Supply Chain","ChatGPT","GitHub Copilot;Synk Code","Employed, full-time;Independent contractor, freelancer, or self-employed"
"durban campus","Computer Science","I am a developer by profession","Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;R;SQL;TypeScript","Microsoft SQL Server;MongoDB","Amazon Web Services (AWS);Microsoft Azure","Angular;Node.js","Higher Education","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Employed, full-time"
"pretoria campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP;SQL","Elasticsearch;MariaDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;OVH","Angular;jQuery;Laravel;Next.js;Symfony;WordPress","Retail and Consumer Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI","Independent contractor, freelancer, or self-employed"
"bloemfontein campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;TypeScript","InfluxDB;MongoDB;Redis","Amazon Web Services (AWS);Heroku;Microsoft Azure;Netlify;Vercel","Express;Next.js;Node.js;React;Vue.js","Higher Education","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"durban campus","IT","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","MongoDB;MySQL","Amazon Web Services (AWS);Heroku;Vercel","Angular;Express;jQuery;Laravel;Next.js;Node.js;React;WordPress","Legal Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Whispr AI","Employed, full-time"
